Left Sensor Time,Left Hip,Left Knee,Right Sensor Time,Right Hip,Right Knee
0,inf,inf,0,inf,66.57
15,62.32,66.35,15,59.16,66.57
32,62.32,66.35,32,59.16,66.57
48,62.32,66.35,48,59.16,66.57
65,62.32,66.35,65,59.16,66.57
81,62.32,66.35,81,59.16,66.57
97,62.32,66.35,97,59.16,66.57
114,62.32,66.35,114,59.16,66.57
130,62.32,66.35,130,59.16,66.57
148,62.32,66.35,148,59.16,66.57
164,62.32,66.35,164,59.16,66.57
180,62.32,66.35,180,59.16,66.57
197,62.32,66.35,197,59.16,66.57
213,62.32,66.35,213,59.16,66.57
229,62.32,66.35,229,59.16,66.57
247,62.32,66.35,247,59.16,66.57
263,62.32,66.42,263,59.16,66.57
280,62.32,66.35,280,59.16,66.57
296,62.32,66.35,296,59.16,66.57
312,62.32,66.35,312,59.16,66.57
329,62.32,66.42,329,59.16,66.57
345,62.32,66.35,345,59.16,66.57
363,62.32,66.35,363,59.16,66.57
379,62.32,66.42,379,59.16,66.57
395,62.32,66.35,395,59.16,66.57
412,62.32,66.42,412,59.16,66.57
428,62.32,66.35,428,59.16,66.57
445,62.32,66.35,445,59.16,66.57
461,62.32,66.35,461,59.16,66.57
478,62.32,66.42,478,59.16,66.57
495,62.32,66.35,495,59.16,66.57
511,62.32,66.35,511,59.16,66.57
527,62.32,66.35,527,59.16,66.57
544,62.32,66.42,544,59.16,66.57
560,62.32,66.42,560,59.16,66.57
578,62.32,66.42,578,59.16,66.57
594,62.32,66.35,594,59.16,66.57
610,62.32,66.35,610,59.16,66.57
627,62.32,66.35,627,59.16,66.57
643,62.32,66.35,643,59.16,66.57
660,62.32,66.35,660,59.16,66.57
676,62.32,66.42,676,59.16,66.57
693,62.32,66.35,693,59.16,66.57
710,62.32,66.42,710,59.16,66.57
726,62.32,66.35,726,59.16,66.57
742,62.32,66.42,742,59.16,66.57
759,62.32,66.35,759,59.16,66.57
775,62.32,66.35,775,59.16,66.57
793,62.32,66.35,793,59.16,66.57
809,62.32,66.42,809,59.16,66.57
825,62.32,66.42,825,59.16,66.57
842,62.32,66.42,842,59.16,66.57
858,62.32,66.42,858,59.16,66.57
875,62.32,66.42,875,59.16,66.57
891,62.32,66.42,891,59.16,66.57
908,62.32,66.42,908,59.16,66.57
925,62.32,66.42,925,59.16,66.57
941,62.32,66.42,941,59.16,66.57
958,62.32,66.42,958,59.16,66.57
974,62.32,66.42,974,59.16,66.57
990,62.32,66.42,990,59.16,66.57
1007,62.32,66.42,1007,59.16,66.57
1024,62.32,66.35,1024,59.16,66.57
1040,62.32,66.35,1040,59.16,66.57
1057,62.32,66.42,1057,59.16,66.57
1073,62.32,66.35,1073,59.16,66.57
1090,62.32,66.35,1090,59.16,66.57
1107,62.32,66.35,1107,59.16,66.57
1123,62.32,66.35,1123,59.16,66.57
1140,62.32,66.42,1140,59.16,66.57
1156,62.32,66.42,1156,59.16,66.57
1173,62.32,66.35,1173,59.16,66.57
1190,62.32,66.35,1190,59.16,66.57
1206,62.32,66.42,1206,59.16,66.57
1223,62.32,66.42,1223,59.16,66.57
1239,62.32,66.42,1239,59.16,66.57
1256,62.32,66.35,1256,59.16,66.57
1273,62.32,66.42,1273,59.16,66.57
1289,62.32,66.42,1289,59.16,66.57
1306,62.32,66.42,1306,59.16,66.57
1322,62.32,66.42,1322,59.16,66.57
1338,62.32,66.42,1338,59.16,66.57
1356,62.32,66.42,1356,59.16,66.57
1372,62.32,66.42,1372,59.16,66.57
1389,62.32,66.42,1389,59.16,66.57
1405,62.32,66.42,1405,59.16,66.57
1421,62.32,66.42,1421,59.16,66.57
1438,62.32,66.42,1438,59.16,66.57
1455,62.32,66.35,1455,59.16,66.57
1472,62.32,66.42,1472,59.16,66.57
1488,62.32,66.35,1488,59.16,66.57
1504,62.32,66.42,1504,59.16,66.57
